"観点","状況","起きる問題","決めた仕様","画面表示","優先度"
"在庫・状態","X-01 端末ID不存在","存在しない端末への貸出が登録される。","ID入力・送信・確定時に存在確認。更新なし。【実装済】","E-01「このIDは存在しません。」","中"
"在庫・状態","X-02 端末がLENT","同じ端末が複数人に貸し出される。","確定時に状態再確認。要求を拒否。【実装済】","E-02「この端末は現在利用中です。別の端末を選択してください。」","高"
"在庫・状態","X-03 REPAIR・DISPOSEDを借りる","使用できない端末が貸し出される。","表示時は選択不可、確定時も拒否。【実装済】","E-03「この端末は利用停止中です。別の端末を選択してください。」","中"
"在庫・状態","X-04 貸出可能0件","端末を選べず、利用者が処理を進められない。","画面取得成功後に件数確認。入力前に案内。【実装済】","E-04「貸出できるPCがありません。」","低"
"在庫・状態","X-05 TABLET・MONITORの値を送信","対象外の機器が貸し出される。","確認・確定時に種別確認。拒否。【実装済】","E-05「貸出対象のノートPCを選択してください。」","中"
"人の状態","X-06 休職・退職者が申し込む","貸出対象外の社員へPCが渡る。","確認・確定時に在籍状態確認。【実装済】","E-07「この社員は貸出対象外のため、貸出できません。」","中"
"人の状態","X-07 社員レコードなし","借用者不明の貸出記録が残る。","借用者指定・確定時に存在確認。【実装済】","E-06「社員情報が見つかりません。社員IDを確認してください。」","中"
"人の状態","X-08 既に1台未返却","1人1台の上限を超える。","確定時に借用者の未返却件数確認。【実装済】","E-08「貸出上限は1人1台です。貸出中のPCを返却してください。」","高"
"人の状態","X-09 許可範囲外の代理操作","許可されていない人が代理操作できる。","確定前に操作主体と借用者の権限確認。【一部実装】代理貸出は全ACTIVE社員に許可するデモ方針。正式な許可範囲はQ-05未決。返却は本人／管理者のみ。","E-18「この操作を行う権限がありません。」","高"
"重複・多重","X-10 同じ端末へ2人が同時申請","双方の状態確認が通り、二重貸出になる。","確定処理で端末確保を直列化。成功は最大1件。【実装済】","E-02「この端末は現在利用中です。別の端末を選択してください。」／最後の1台はE-04「貸出できるPCがありません。」","高"
"重複・多重","X-11 同じ社員が異なる端末を同時申請","端末単位の排他だけでは1人1台を守れない。","借用者単位で上限判定と登録を一体化。【実装済】","E-08「貸出上限は1人1台です。貸出中のPCを返却してください。」","高"
"重複・多重","X-12 確定ボタン連打・二重送信","同じ貸出が複数件登録される。","要求識別子で重複検知。同じ結果を返す。【実装済】","既存完了表示","高"
"重複・多重","X-13 完了後に戻って再確定","完了済みの操作で再登録が起きる。","使用済み要求の結果を照会し再登録しない。【実装済】","既存完了表示","高"
"入力値","X-14 必須値の未入力・空白のみ","必要な情報が欠けた貸出記録が残る。","確認遷移前と確定時に検証。【実装済】","E-09「端末または社員IDを正しく指定してください。」／E-10「返却予定日を有効な日付で入力してください。」／E-11「返却予定日は{当日}から{7日後}までで入力してください。」／E-12「利用目的は空白のみを避け、使用できる文字で1～100文字で入力してください。」","中"
"入力値","X-15 目的が101文字以上","目的の切捨てやDBエラーが起きる。","正規化後の文字数を検証し拒否。【実装済】","E-12「利用目的は空白のみを避け、使用できる文字で1～100文字で入力してください。」","中"
"入力値","X-16 2026/02/30等の存在しない日付","実在しない返却日が保存される。","日付解析時に拒否。自動補正しない。【実装済】","E-10「返却予定日を有効な日付で入力してください。」","中"
"入力値","X-17 返却予定日が過去日・上限超過","期間制限違反や期限判定の誤りが起きる。","確定時の業務日を基準に範囲確認。【実装済】","E-11「返却予定日は{当日}から{7日後}までで入力してください。」","中"
"入力値","X-18 当日・上限ちょうどで判定が不一致","画面とサーバーで受付可否が食い違う。","提出実装の補完案としてJST当日D〜D+7を両端含める。当日・7日後は許可、前日・8日後は拒否。【実装済】","範囲内は確認へ","中"
"入力値","X-19 絵文字・HTML・制御文字で文字化けや実行","文字化けやスクリプト実行が起きる。","文字仕様検証と表示エスケープ。制御文字拒否。【実装済】","通常の文字表示／E-12「利用目的は空白のみを避け、使用できる文字で1～100文字で入力してください。」","高"
"入力値","X-20 選択肢外・桁あふれIDを直接送信","想定外の端末を借りられる、または処理が異常終了する。","サーバーで型・範囲・存在・種別を確認。【実装済】","E-09「端末または社員IDを正しく指定してください。」／E-01「このIDは存在しません。」／E-05「貸出対象のノートPCを選択してください。」","中"
"順序","X-21 借りていない端末を返す","貸出がないのに返却日時や端末状態が更新される。","貸出IDで未返却レコードを確認し更新なし。【実装済】","E-14「返却対象の貸出がないか、すでに返却済みです。貸出状況を確認してください。」","高"
